item_nbr,line,qty,owner,reception_nbr,doctype,created_date,closed,status,expected_date,provider_id,reception_type,file_path
300130,1,279900,TRANSBANK,TNBK-00001,NAC,2024-04-01T08:58:53.905301,1,4,2024-04-01T08:58:53.921618,96689310-9,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
10N.210001PK4,1,1,PARTNER-CO,PRTC-00013,LI,2024-04-01T10:08:38.739997,1,4,2024-04-01T10:08:38.750973,76193180-3-8,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXCARUH43,1,1,RENOX-RX,RMA-667313,LI,2024-04-01T10:14:07.135717,1,4,2024-04-01T10:14:07.147525,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1196814,14,3,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1900101,13,3,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1140724,12,3,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1140726,11,6,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1400110,10,6,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1400111,9,6,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1400112,8,6,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1400101,7,3,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1400102,6,3,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1500160,5,1,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1196842,4,4,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1196840,3,4,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1196838,2,4,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
1208603,1,1,KIDS-CLUB,KDSC-00052,NAC,2024-04-01T10:20:30.849727,1,4,2024-04-01T10:20:30.879738,Rut cliente,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXCARUMWP35,1,1,RENOX-RX,RMA-669350,LI,2024-04-01T10:24:47.232260,1,4,2024-04-01T10:24:47.245174,RMA669350,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
10N.210001PK4,1,3,PARTNER-CO,PRTC-00014,LI,2024-04-01T10:24:50.273033,1,4,2024-04-01T10:24:50.286182,76193180-3-8,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXMEMWP36,1,1,RENOX-RX,RMA-666760,LI,2024-04-01T10:30:35.199590,1,4,2024-04-01T10:30:35.213085,RMA669350,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXDAMOWPM38,2,1,RENOX-RX,RMA-670751,LI,2024-04-01T10:42:23.576881,1,4,2024-04-01T10:42:23.590520,RMA669350,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXVERSBLM38,1,1,RENOX-RX,RMA-670751,LI,2024-04-01T10:42:23.576881,1,4,2024-04-01T10:42:23.590520,RMA669350,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXVERSMUSM37,1,1,RENOX-RX,RMA-664358,LI,2024-04-01T10:49:04.650277,1,4,2024-04-01T10:49:04.665265,RMA669350,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
200491-1,1,1,SANTU,SNTU-00076,LI,2024-04-01T10:49:40.758546,1,4,2024-04-01T10:49:40.771659,77711977-K,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
CMPC7806500799566,1,1,SOFTYS,SFTY-00052,LI,2024-04-01T11:02:09.786558,1,4,2024-04-01T11:02:09.799477,98529310-8-8,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
6950225102635,3,48,HEALTHY-GREEN,HTGN-00039,NAC,2024-04-01T11:23:26.658312,1,4,2024-04-01T11:23:26.673400,77.332.914-1,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
2130-49,2,1,HEALTHY-GREEN,HTGN-00039,NAC,2024-04-01T11:23:26.658312,1,4,2024-04-01T11:23:26.673400,77.332.914-1,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
2034-37,1,3,HEALTHY-GREEN,HTGN-00039,NAC,2024-04-01T11:23:26.658312,1,4,2024-04-01T11:23:26.673400,77.332.914-1,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXVERSBLH42,1,1,RENOX-RX,RMA-668252,LI,2024-04-01T11:23:49.099343,1,4,2024-04-01T11:23:49.110729,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXCARUHWP44,1,1,RENOX-RX,RMA-666575,LI,2024-04-01T11:41:19.893145,1,4,2024-04-01T11:41:19.905980,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXMEMWP40,1,1,RENOX-RX,RMA-656861,LI,2024-04-01T11:46:50.508982,1,4,2024-04-01T11:46:50.520548,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXCARUMWP39,2,1,RENOX-RX,RMA-664271,LI,2024-04-01T11:53:55.192326,1,4,2024-04-01T11:53:55.207547,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXVERSMUSM39,1,1,RENOX-RX,RMA-664271,LI,2024-04-01T11:53:55.192326,1,4,2024-04-01T11:53:55.207547,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXVERSBLM35,1,1,RENOX-RX,RMA-23804,LI,2024-04-01T12:11:30.481604,1,4,2024-04-01T12:11:30.493726,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXVERSBEIH43,1,1,RENOX-RX,RMA-668326,LI,2024-04-01T12:17:23.592404,1,4,2024-04-01T12:17:23.603215,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXNEROHWP40,1,1,RENOX-RX,RMA-667716,LI,2024-04-01T12:25:42.105265,1,4,2024-04-01T12:25:42.118172,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXACORUSH43,1,1,RENOX-RX,RMA-660802,LI,2024-04-01T12:35:18.991516,1,4,2024-04-01T12:35:19.005772,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXVERSBLM39,2,1,RENOX-RX,RMA-666131,LI,2024-04-01T12:41:50.313607,1,4,2024-04-01T12:41:50.325963,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
RXVERSBLH43,1,1,RENOX-RX,RMA-666131,LI,2024-04-01T12:41:50.313607,1,4,2024-04-01T12:41:50.325963,76.350.162-0,BATCH,C:/workspace/blue-attached/respaldoS3\18-00-07.csv
